barrio,dia,direccion_viento_tarde,direccion_viento_temprano,horas_de_sol,humedad_tarde,humedad_temprano,id,llovieron_hamburguesas_hoy,mm_evaporados_agua,mm_lluvia_dia,nubosidad_tarde,nubosidad_temprano,presion_atmosferica_tarde,presion_atmosferica_temprano,rafaga_viento_max_direccion,rafaga_viento_max_velocidad,temp_max,temp_min,temperatura_tarde,temperatura_temprano,velocidad_viendo_tarde,velocidad_viendo_temprano
Villa Devoto,2009-10-18,Oeste,Sur,,66.0,85.0,111901,no,,0.0,,,1015.6,1016.2,Oeste,30.0,22.5,14.0,19.9,16.4,19.0,13.0
Villa Santa Rita,2015-06-09,Estesureste,Oeste,,27.0,43.0,138363,no,,0.0,,,1023.3,1026.2,Sursureste,33.0,21.0,2.2,19.5,10.6,15.0,7.0
Palermo,2013-07-24,Sur,Sursuroeste,0.8,66.0,82.0,65767,no,0.6,0.2,7.0,7.0,1030.6,1032.8,Sur,26.0,13.3,8.4,11.9,9.6,19.0,7.0
Villa Luro,2016-02-03,Sureste,Estenoreste,12.8,22.0,50.0,123322,no,8.8,0.0,1.0,0.0,1017.0,1020.9,Sureste,50.0,31.5,16.2,30.5,22.7,11.0,15.0
Mataderos,2014-04-23,Nornoreste,Estenoreste,,58.0,86.0,50902,no,,0.0,,,1014.8,1019.4,Noreste,48.0,20.8,6.4,19.0,11.0,13.0,7.0
Flores,2009-12-14,Sureste,Sursureste,0.0,66.0,70.0,33867,no,9.0,0.0,7.0,7.0,1021.1,1021.2,Sureste,41.0,24.7,19.6,21.1,21.5,19.0,20.0
La Paternal,2011-03-13,Nornoreste,Noreste,,71.0,82.0,43379,no,,0.0,,,1018.2,1021.2,Nornoreste,37.0,26.8,20.7,26.1,23.7,20.0,13.0
Villa Devoto,2016-10-01,Oestesuroeste,Oestesuroeste,,75.0,53.0,114352,si,,5.8,,,1003.4,1000.6,,,14.0,8.8,9.6,11.9,20.0,35.0
La Paternal,2011-12-05,Sur,Sursuroeste,,72.0,61.0,43616,no,,0.2,8.0,3.0,1020.6,1022.1,Sur,63.0,17.0,10.8,16.0,15.0,44.0,39.0
Flores,2009-10-27,Este,Estesureste,0.0,56.0,61.0,33819,no,3.8,0.2,8.0,8.0,1027.6,1029.6,Estesureste,44.0,19.9,14.9,18.1,16.3,19.0,24.0
Villa Real,2013-12-25,Sureste,Nornoreste,10.6,44.0,59.0,131752,no,7.6,0.2,,,1009.6,1013.4,Sureste,33.0,27.8,13.7,24.5,18.5,22.0,20.0
Villa del Parque,2016-08-02,,Norte,,,89.0,111283,no,1.0,0.0,,5.0,1022.5,1027.0,,,,5.1,,8.8,,4.0
Boedo,2016-03-04,,,,,,17637,no,,0.0,,,,,,,,,,,,
Villa del Parque,2016-09-08,,Sur,,,87.0,111320,si,3.8,9.4,,2.0,1022.3,1021.1,,,14.5,8.0,,12.1,,33.0
Villa General Mitre,2011-12-15,Sureste,Este,6.6,51.0,54.0,115668,no,,0.0,6.0,7.0,1008.9,1011.0,Sureste,48.0,27.2,19.7,25.1,23.5,26.0,24.0
Villa Crespo,2009-03-05,Sur,Sur,10.6,41.0,59.0,105625,no,10.4,0.0,2.0,1.0,1020.9,1023.8,Sur,46.0,25.9,13.7,23.5,17.3,20.0,22.0
Vélez Sársfield,2017-06-07,Sur,,,64.0,97.0,102534,no,,0.0,8.0,,1029.6,1032.2,Oestesuroeste,15.0,14.1,-0.7,13.6,4.8,9.0,0.0
La Paternal,2014-09-27,Estesureste,Sur,,56.0,63.0,44584,no,,0.8,,,1019.4,1021.3,Sursureste,30.0,19.6,11.7,17.8,16.7,15.0,20.0
Villa Santa Rita,2017-06-04,Estesureste,Oeste,,21.0,39.0,139089,no,,0.0,,,1021.9,1026.4,Estesureste,39.0,20.9,0.0,20.1,9.4,19.0,9.0
Villa del Parque,2010-07-17,Oeste,Noroeste,5.4,87.0,87.0,109164,si,1.0,18.0,8.0,7.0,1024.1,1024.1,,,15.1,8.8,11.0,9.5,6.0,11.0
San Cristóbal,2011-03-25,Noroeste,Noroeste,,30.0,38.0,91084,no,,0.0,,,1007.9,1011.0,Oestenoroeste,41.0,30.8,17.2,29.8,26.5,24.0,17.0
Villa Soldati,2013-10-01,Norte,Estenoreste,10.8,41.0,62.0,140940,no,8.0,0.0,1.0,1.0,1009.8,1014.3,Estesureste,46.0,35.2,23.5,32.7,28.8,26.0,13.0
Balvanera,2013-06-15,suroeste,suroeste,,63.0,86.0,7586,si,1.0,1.2,1.0,7.0,1017.4,1017.9,Sursuroeste,33.0,13.0,7.1,12.3,7.3,20.0,19.0
Villa del Parque,2009-08-27,Oestesuroeste,Nornoreste,7.1,58.0,93.0,108840,si,2.2,1.2,5.0,7.0,1010.4,1013.3,,,16.0,10.1,15.0,12.0,19.0,4.0
Almagro,2016-08-17,Oeste,Nornoreste,,35.0,94.0,5736,no,,0.0,,,1021.8,1026.5,Oestenoroeste,24.0,23.9,3.1,23.6,11.6,7.0,2.0
Villa Luro,2009-05-01,Sureste,Este,9.8,32.0,60.0,120942,no,4.6,0.0,0.0,0.0,1024.7,1028.4,Estesureste,28.0,25.0,11.3,24.6,15.2,9.0,13.0
Monte Castro,2011-02-08,Norte,suroeste,,83.0,95.0,52861,no,,0.0,,,,,suroeste,26.0,16.0,7.0,14.3,11.3,4.0,17.0
Mataderos,2011-07-15,Sur,Sur,,42.0,68.0,49949,no,,0.0,,,1033.5,1036.6,Sur,31.0,11.9,-0.7,11.4,4.2,7.0,20.0
Vélez Sársfield,2010-06-03,Oeste,Nornoreste,2.1,76.0,96.0,100062,no,0.2,0.0,7.0,6.0,1025.2,1027.4,Nornoreste,20.0,15.7,4.8,14.0,10.6,9.0,4.0
Belgrano,2015-04-18,Norte,Nornoreste,,44.0,66.0,14276,,,,1.0,,1016.6,1021.3,Oestenoroeste,50.0,28.3,18.1,27.3,22.5,19.0,31.0
Villa Lugano,2010-01-03,Oestesuroeste,Noreste,13.0,11.0,15.0,117996,no,12.8,0.0,0.0,0.0,1008.8,1012.8,Este,67.0,40.7,20.8,38.9,31.8,26.0,28.0
Almagro,2013-07-22,Oeste,Sur,,34.0,82.0,4614,no,,0.0,,,1016.6,1019.5,Oestenoroeste,48.0,16.1,0.3,15.4,6.3,26.0,4.0
Villa Riachuelo,2011-05-11,Sursureste,Nornoreste,,49.0,99.0,133892,si,,10.0,,,1002.9,1003.3,Sur,33.0,13.5,2.5,12.8,5.9,20.0,4.0
Parque Avellaneda,2011-03-10,Sur,Sur,0.0,70.0,91.0,68182,si,1.8,11.2,7.0,8.0,1015.6,1015.4,suroeste,33.0,18.7,15.2,18.1,15.6,20.0,19.0
Villa Real,2012-04-11,Sursureste,Nornoreste,9.9,47.0,61.0,131188,no,1.8,0.0,,,1029.1,1032.5,Noroeste,35.0,20.6,6.3,18.3,13.1,17.0,11.0
Recoleta,2013-01-07,Sursuroeste,Estesureste,13.3,24.0,70.0,82404,no,8.2,0.0,,,1012.0,1019.1,Estesureste,33.0,34.5,14.1,33.2,20.5,24.0,22.0
Monte Castro,2010-10-01,Norte,Nornoreste,,67.0,57.0,52731,no,,0.0,,,,,Nornoreste,33.0,8.0,-1.6,7.4,3.0,7.0,13.0
Boedo,2013-04-07,Sureste,Noreste,,61.0,92.0,16575,no,,0.0,3.0,4.0,,,,,23.5,12.5,22.2,17.5,4.0,4.0
Constitución,2017-05-20,Oestenoroeste,Noroeste,5.4,58.0,86.0,33483,si,1.0,14.6,3.0,8.0,1015.4,1017.9,Noreste,35.0,23.2,16.7,22.8,17.5,9.0,11.0
Monte Castro,2016-03-21,Este,Estesureste,,70.0,88.0,54640,no,,0.4,,,,,Sureste,33.0,11.2,1.5,9.9,5.3,7.0,7.0
Parque Patricios,2010-03-17,Sursureste,Oeste,1.9,73.0,68.0,75420,no,4.0,0.0,8.0,5.0,1023.1,1021.7,Estesureste,30.0,23.1,13.2,21.2,18.9,13.0,19.0
Puerto Madero,2014-03-29,suroeste,,8.3,46.0,100.0,79813,no,2.0,0.0,3.0,7.0,1016.1,1018.2,Oestesuroeste,22.0,25.9,10.5,24.2,13.6,9.0,0.0
Vélez Sársfield,2009-02-05,Sursuroeste,Sursuroeste,7.9,49.0,72.0,99579,no,9.0,0.0,2.0,2.0,1010.2,1008.8,suroeste,39.0,25.2,16.0,25.0,19.1,26.0,19.0
Puerto Madero,2009-06-25,Norte,Nornoreste,3.8,85.0,100.0,78164,si,2.6,6.0,7.0,7.0,1010.3,1013.8,Norte,37.0,14.5,1.7,12.0,3.3,13.0,7.0
Palermo cheto,2016-12-31,Estenoreste,Noreste,,38.0,40.0,145283,no,,0.0,,5.0,1002.7,1005.1,Noreste,46.0,33.0,23.7,31.5,30.1,17.0,24.0
Mataderos,2012-06-18,Nornoreste,,,58.0,85.0,50287,no,,0.0,,,1020.6,1023.6,Norte,28.0,13.3,-1.4,12.3,5.0,17.0,0.0
Parque Patricios,2015-02-19,Estesureste,Estenoreste,12.2,60.0,74.0,77131,no,6.0,0.0,,8.0,1016.1,1019.4,Este,31.0,25.8,15.2,24.1,17.2,15.0,13.0
Parque Patricios,2012-08-25,Oestenoroeste,Noroeste,6.8,83.0,91.0,76282,si,2.6,3.8,8.0,5.0,1013.2,1015.6,Oeste,65.0,13.6,7.2,12.8,9.3,35.0,17.0
Villa del Parque,2010-08-27,Nornoreste,Nornoreste,4.8,50.0,74.0,109205,no,1.6,0.0,5.0,7.0,1023.2,1027.0,,,16.6,10.2,16.0,12.0,13.0,19.0
Parque Chacabuco,2010-05-20,Norte,,4.9,34.0,70.0,70897,no,1.6,0.0,7.0,7.0,1020.4,1023.1,Sursureste,52.0,19.8,8.0,18.8,10.9,13.0,0.0
Caballito,2015-06-24,Norte,Norte,,65.0,72.0,20386,no,,0.0,,,1020.2,1023.2,Norte,26.0,20.6,12.3,18.2,16.6,17.0,7.0
Recoleta,2015-03-05,Oestesuroeste,Sursuroeste,9.2,51.0,59.0,83163,si,3.8,2.8,,,1019.5,1019.7,suroeste,56.0,18.7,11.4,17.2,14.0,22.0,20.0
Villa Pueyrredón,2010-05-28,Sursuroeste,Oestenoroeste,,71.0,81.0,127344,si,,7.6,,,1020.3,1020.2,Norte,24.0,17.8,11.2,17.1,14.4,9.0,6.0
Saavedra,2014-07-30,Sureste,Sursureste,4.6,53.0,80.0,89178,no,6.8,0.4,5.0,5.0,1016.8,1019.9,Sureste,35.0,27.1,18.2,25.5,22.2,26.0,19.0
La Paternal,2013-12-24,Sursureste,Sur,,69.0,75.0,44307,si,,6.2,8.0,8.0,1018.9,1019.2,Sur,44.0,20.5,16.9,19.9,19.1,17.0,26.0
Villa Devoto,2012-01-08,Sursureste,Sursureste,,55.0,62.0,112683,no,,0.0,,,1019.5,1021.3,Sur,39.0,21.7,14.6,19.9,17.5,22.0,13.0
Villa Luro,2013-07-17,Sursuroeste,Sur,8.5,52.0,64.0,122391,si,2.4,12.6,3.0,1.0,1020.6,1020.4,suroeste,61.0,14.6,9.1,13.6,10.7,17.0,17.0
San Cristóbal,2011-08-26,Estesureste,Sursureste,,68.0,73.0,91208,no,,0.0,,,1022.3,1025.3,Estesureste,30.0,22.4,13.9,21.0,20.9,24.0,13.0
Palermo,2014-04-27,Sureste,Sursureste,9.4,42.0,64.0,66044,no,3.0,0.2,1.0,2.0,1022.5,1025.6,Estesureste,41.0,16.1,5.0,15.7,12.1,19.0,11.0
Almagro,2015-12-05,Noreste,Nornoreste,,31.0,68.0,5480,no,,0.0,,,1017.3,1022.6,Estenoreste,28.0,30.5,10.4,29.7,19.5,6.0,4.0
San Nicolás,2010-05-16,Estenoreste,Sureste,7.7,65.0,59.0,93811,no,6.0,0.0,7.0,6.0,1012.6,1015.1,Este,35.0,27.8,17.7,25.9,24.3,15.0,9.0
Parque Avellaneda,2010-03-29,Sureste,Nornoreste,6.8,63.0,89.0,67836,si,3.8,8.0,5.0,7.0,1015.5,1013.5,Oeste,44.0,23.3,17.9,23.0,19.2,22.0,11.0
Monserrat,2016-07-27,Oeste,suroeste,,97.0,99.0,57808,si,,2.2,8.0,8.0,1019.1,1014.5,suroeste,44.0,7.9,1.8,6.5,6.1,30.0,22.0
Balvanera,2009-04-26,Oeste,Oestesuroeste,9.0,37.0,54.0,6164,no,5.6,1.0,6.0,1.0,1010.7,1011.1,Oestenoroeste,63.0,18.4,11.2,16.5,13.1,19.0,22.0
San Telmo,2016-08-23,suroeste,Nornoreste,,53.0,72.0,99206,no,,0.0,,,1015.6,1017.8,Sureste,24.0,16.7,4.8,15.1,11.7,13.0,7.0
Villa General Mitre,2013-12-16,Oestesuroeste,Noreste,10.2,13.0,17.0,116341,no,,0.0,,,1008.0,1009.6,Este,44.0,41.4,18.1,37.6,32.4,24.0,9.0
Saavedra,2015-11-29,Noreste,Sureste,10.9,69.0,61.0,89665,no,7.6,0.0,7.0,5.0,1010.1,1013.4,Noreste,33.0,31.1,23.6,29.5,29.7,19.0,9.0
Caballito,2016-07-31,Norte,Oestenoroeste,,62.0,67.0,20789,no,,0.0,,,1015.2,1017.7,Oeste,22.0,19.6,10.8,18.1,14.9,7.0,11.0
Villa Real,2012-10-24,Sureste,Nornoreste,2.2,80.0,54.0,131384,no,2.8,0.0,,,1014.2,1013.9,Sur,50.0,16.0,11.2,11.3,14.5,19.0,6.0
Villa Pueyrredón,2015-09-18,Oeste,Oestenoroeste,,65.0,99.0,129191,no,,0.0,,,1018.9,1021.0,Oeste,43.0,19.0,7.8,18.1,13.8,20.0,9.0
Villa Lugano,2012-11-11,suroeste,Sursuroeste,13.3,29.0,42.0,119009,no,6.6,1.0,1.0,2.0,1021.2,1022.6,,,21.8,8.2,20.4,18.1,30.0,22.0
Villa Lugano,2012-03-18,Sureste,Estenoreste,11.1,18.0,25.0,118771,no,10.6,0.0,1.0,1.0,1000.8,1005.8,Estesureste,56.0,34.8,18.6,33.7,26.5,20.0,17.0
Villa Urquiza,2016-07-06,Estesureste,Estesureste,,,54.0,143527,no,6.8,0.0,,0.0,1013.5,1017.8,Sureste,41.0,31.5,12.0,,22.0,20.0,19.0
Parque Chacabuco,2016-01-23,Sursuroeste,Sursuroeste,7.7,54.0,89.0,72882,si,2.4,14.4,6.0,8.0,1013.1,1012.8,Sur,31.0,28.9,18.6,26.5,20.2,15.0,17.0
Vélez Sársfield,2011-08-17,Noroeste,Norte,4.2,78.0,83.0,100472,si,1.6,9.2,8.0,7.0,1000.5,998.6,Oestenoroeste,83.0,13.4,10.3,10.4,11.1,46.0,31.0
Villa Real,2013-06-08,Nornoreste,Noroeste,7.0,47.0,58.0,131552,no,4.0,0.0,,,1019.9,1021.8,Noroeste,59.0,15.9,7.3,14.8,10.2,28.0,39.0
Retiro,2014-04-17,Oestenoroeste,Oestesuroeste,10.7,39.0,59.0,86034,no,5.6,0.0,2.0,1.0,1014.2,1018.4,Estenoreste,19.0,28.0,16.2,27.7,21.9,7.0,7.0
San Nicolás,2016-02-28,Nornoreste,Norte,11.8,50.0,61.0,95836,no,9.6,0.0,1.0,2.0,1009.8,1013.2,Norte,31.0,34.5,26.7,33.3,30.5,15.0,13.0
Villa Real,2013-08-10,Oestesuroeste,Oeste,4.7,36.0,64.0,131615,si,0.4,5.4,,,1002.8,1001.2,Oeste,83.0,12.5,6.0,12.3,7.8,33.0,33.0
Núñez,2011-11-27,Oeste,Oeste,9.9,61.0,76.0,62212,si,4.6,12.0,1.0,4.0,1009.9,1007.5,Oeste,70.0,21.4,12.7,21.1,16.4,39.0,41.0
Villa General Mitre,2013-04-20,Sursuroeste,Sur,7.8,50.0,79.0,116101,,,,,4.0,1017.4,1018.6,suroeste,44.0,23.5,14.4,21.4,18.9,28.0,15.0
Villa Soldati,2015-06-04,Estesureste,Sureste,11.0,24.0,53.0,141551,no,8.0,0.0,1.0,3.0,1011.4,1014.8,,,33.2,22.2,32.2,25.5,30.0,24.0
Villa del Parque,2010-05-23,Oestesuroeste,Oestesuroeste,2.5,80.0,65.0,109109,si,3.8,8.2,8.0,6.0,1005.0,1003.2,,,15.5,11.6,14.8,13.3,69.0,43.0
Villa Crespo,2014-09-15,suroeste,Sursuroeste,,26.0,55.0,107556,no,,0.0,,8.0,1015.9,1017.5,suroeste,59.0,23.2,11.6,21.9,17.1,39.0,35.0
Barracas,2011-02-04,Noreste,Estesureste,12.6,65.0,72.0,9822,no,5.0,0.0,1.0,2.0,1013.4,1015.0,Nornoreste,44.0,30.4,22.6,29.7,28.9,26.0,9.0
Constitución,2013-07-02,Oestenoroeste,Oeste,9.8,46.0,77.0,32065,no,2.2,0.0,2.0,1.0,1021.0,1024.9,Oeste,33.0,19.9,8.8,18.9,10.2,4.0,20.0
Puerto Madero,2016-02-21,Sureste,Nornoreste,11.7,33.0,77.0,80507,no,6.8,0.0,3.0,4.0,1020.9,1024.8,Sursuroeste,31.0,31.2,9.7,28.7,13.8,9.0,4.0
Vélez Sársfield,2011-11-20,Oeste,Oeste,11.6,51.0,56.0,100567,no,4.4,0.2,5.0,3.0,1016.4,1015.4,Oeste,59.0,19.0,6.5,17.1,15.6,37.0,35.0
Vélez Sársfield,2013-12-17,Sur,Sureste,10.8,40.0,76.0,101266,no,6.4,0.0,1.0,6.0,1020.2,1022.7,Sur,35.0,27.9,6.5,26.4,14.1,20.0,17.0
Boedo,2013-09-05,,Noreste,,33.0,60.0,16726,no,,0.0,5.0,0.0,,,,,27.8,9.7,26.7,18.5,0.0,9.0
Coghlan,2016-08-06,Nornoreste,,,58.0,98.0,26843,no,,0.0,,,,,Noreste,11.0,16.5,7.6,15.8,10.3,6.0,0.0
Colegiales,2015-07-09,Noreste,Este,,55.0,97.0,29458,no,1.0,0.0,,1.0,1026.8,1031.1,,,16.6,1.5,16.1,4.8,9.0,2.0
Villa General Mitre,2013-09-06,Sureste,Sur,10.3,40.0,63.0,116240,no,,0.0,0.0,0.0,1019.5,1024.9,Este,44.0,21.7,5.7,21.2,14.7,17.0,11.0
Monte Castro,2013-11-15,Oestenoroeste,Oestenoroeste,,47.0,80.0,53783,no,,0.0,,,,,Oeste,28.0,14.5,1.6,11.9,6.6,11.0,7.0
Parque Patricios,2014-01-22,Estesureste,Sureste,9.4,56.0,66.0,76738,no,5.8,0.0,,8.0,1022.2,1022.5,Sureste,35.0,19.7,14.6,19.5,16.1,17.0,15.0
Almagro,2009-08-02,Nornoreste,,,39.0,84.0,3253,no,,0.0,,,1022.6,1027.8,suroeste,19.0,19.1,0.0,18.2,8.6,9.0,0.0
Constitución,2012-10-24,Noreste,Oeste,11.6,48.0,57.0,31873,no,6.0,0.2,2.0,1.0,1017.7,1024.3,Noreste,46.0,23.0,11.7,21.0,17.3,24.0,11.0
Palermo cheto,2016-05-31,Este,Sureste,,63.0,100.0,145069,si,,2.4,,8.0,1017.3,1020.3,Estenoreste,22.0,23.0,13.7,22.2,15.0,13.0,11.0
Floresta,2016-07-09,Sursureste,,,72.0,96.0,39186,si,,6.8,8.0,8.0,1022.9,1024.9,Este,15.0,14.2,9.2,13.9,10.5,2.0,0.0
Villa Soldati,2013-12-04,Norte,Estenoreste,6.0,72.0,69.0,141004,no,5.0,0.0,7.0,5.0,1006.2,1008.7,,,32.6,25.7,29.8,30.8,19.0,7.0
Almagro,2009-12-03,Estenoreste,Nornoreste,,24.0,57.0,3376,no,,0.2,,,1016.4,1022.5,Este,41.0,30.5,10.1,28.9,18.9,20.0,11.0
Retiro,2016-02-29,Estesureste,Sursureste,10.8,47.0,64.0,86717,no,9.4,0.0,2.0,6.0,1014.0,1016.9,Sureste,37.0,32.9,23.0,31.8,26.3,15.0,4.0
Villa Santa Rita,2011-09-05,Nornoreste,Estesureste,9.3,16.0,43.0,137049,no,5.6,0.0,1.0,1.0,1016.0,1021.6,Estenoreste,39.0,30.1,9.1,29.7,17.0,9.0,2.0
Nueva Pompeya,2016-03-17,Norte,Este,,36.0,61.0,60716,no,,0.0,1.0,3.0,1007.4,1013.8,Nornoreste,43.0,31.3,18.2,29.6,20.6,24.0,15.0
Caballito,2016-01-04,Estenoreste,Este,,75.0,97.0,20580,si,,15.0,,,1015.2,1016.0,Estenoreste,48.0,25.3,18.7,23.7,20.8,20.0,22.0
Barracas,2015-09-21,Noreste,Noroeste,,75.0,60.0,11423,si,,2.2,7.0,3.0,1017.4,1021.5,Norte,30.0,22.3,9.7,18.5,19.6,24.0,13.0
Floresta,2013-12-11,Oeste,Oestesuroeste,13.7,22.0,37.0,38245,no,9.6,0.0,4.0,1.0,1008.6,1010.6,Oestesuroeste,54.0,24.9,7.5,23.3,18.2,35.0,22.0
San Nicolás,2015-11-19,Estenoreste,Este,12.0,46.0,31.0,95735,no,11.8,0.0,1.0,1.0,1012.9,1017.0,Estenoreste,52.0,32.6,21.1,30.0,30.1,39.0,22.0
Constitución,2012-01-26,Este,Sursureste,3.3,68.0,90.0,31601,si,7.8,29.6,,,1013.4,1014.0,Este,26.0,26.9,20.8,26.4,22.5,15.0,13.0
Liniers,2009-08-20,,,,36.0,64.0,46245,no,2.4,0.0,,,,,,,17.9,3.3,17.5,10.8,,
Barracas,2017-02-10,Nornoreste,Oestenoroeste,,69.0,70.0,11931,no,,1.0,,,1009.9,1013.4,Noreste,41.0,31.3,21.5,28.5,26.6,30.0,7.0
San Nicolás,2009-03-13,Estenoreste,Sur,11.0,60.0,68.0,93382,si,5.8,1.2,4.0,6.0,1008.7,1012.4,Estenoreste,33.0,31.9,24.4,31.2,28.5,22.0,19.0
Versalles,2010-04-03,Estesureste,Estesureste,7.5,39.0,67.0,103010,no,6.6,0.0,6.0,7.0,1019.9,1023.1,Sureste,39.0,22.4,11.1,20.4,12.7,15.0,17.0
Villa Santa Rita,2012-11-18,Oestesuroeste,Estenoreste,12.9,14.0,17.0,137489,no,13.6,0.0,,1.0,1008.3,1013.0,Estenoreste,46.0,36.0,16.5,34.0,27.5,11.0,30.0
Vélez Sársfield,2015-07-11,Norte,Noroeste,4.0,80.0,91.0,101837,si,1.4,6.0,7.0,7.0,998.2,1003.3,Nornoreste,63.0,11.2,5.8,7.2,7.0,28.0,20.0
Flores,2016-01-25,Estenoreste,Sur,0.0,67.0,85.0,36011,no,4.6,0.0,8.0,8.0,1013.3,1014.5,Noreste,35.0,25.0,21.1,24.3,22.3,17.0,17.0
Villa del Parque,2013-12-24,Oestesuroeste,Oestesuroeste,9.1,67.0,54.0,110331,no,5.4,0.0,2.0,7.0,1008.5,1009.1,,,26.3,14.8,23.0,21.8,52.0,7.0
La Paternal,2011-06-30,Sureste,Sursuroeste,,64.0,73.0,43458,si,,5.0,1.0,8.0,1035.6,,Sureste,33.0,16.9,12.3,15.5,14.5,20.0,9.0
Almagro,2015-09-04,Estesureste,Sursuroeste,,56.0,67.0,5388,no,,0.0,,,,,Sursuroeste,33.0,19.4,12.8,17.4,15.1,6.0,15.0
Boedo,2011-11-11,,,,,,16121,no,,0.0,,,,,,,29.8,,,,,
Villa Santa Rita,2015-12-24,Norte,Estesureste,13.0,24.0,40.0,138561,no,11.0,0.0,5.0,1.0,1001.6,1005.9,Este,33.0,38.3,23.3,36.3,30.1,7.0,17.0
Belgrano,2017-04-14,Sursuroeste,Nornoreste,,27.0,59.0,15003,no,,0.0,,,1016.8,1021.0,Sursuroeste,28.0,27.0,14.7,26.8,21.3,11.0,9.0
La Boca,2011-10-23,Estesureste,Oestenoroeste,,58.0,93.0,40533,no,,0.0,,8.0,1018.5,1022.4,Noreste,30.0,27.8,11.4,25.8,17.3,13.0,9.0
Recoleta,2010-02-04,Oeste,Nornoreste,0.0,92.0,95.0,81397,si,9.6,4.8,,,1007.8,1008.8,Noroeste,44.0,22.2,19.8,21.1,20.0,11.0,7.0
Villa Lugano,2017-05-24,Oestesuroeste,Nornoreste,8.0,51.0,89.0,120605,no,1.2,0.2,3.0,1.0,1020.3,1022.7,Oestenoroeste,30.0,21.2,11.6,20.4,15.2,15.0,9.0
San Telmo,2016-12-21,Oestesuroeste,Sursureste,,42.0,50.0,99326,no,,0.0,,,1017.5,1020.0,Oestesuroeste,31.0,26.9,13.1,24.8,18.8,19.0,7.0
San Nicolás,2015-12-15,Noreste,Estesureste,11.2,53.0,58.0,95761,no,10.4,0.0,2.0,3.0,1009.2,1012.2,Estenoreste,39.0,32.5,23.3,30.4,30.2,31.0,19.0
Villa Lugano,2013-05-13,Este,Estenoreste,8.3,45.0,73.0,119133,no,2.2,0.0,5.0,2.0,1026.2,1031.2,Noreste,37.0,20.8,7.6,19.8,14.8,22.0,15.0
Saavedra,2010-01-04,Estenoreste,Sur,9.6,60.0,70.0,87599,si,7.4,1.6,5.0,5.0,1007.6,1009.6,Noreste,37.0,32.2,23.9,31.3,28.6,22.0,11.0
Villa Real,2015-02-19,Estenoreste,Norte,2.7,62.0,70.0,132173,no,5.4,0.0,7.0,7.0,1019.6,1023.4,Noreste,28.0,22.7,15.3,21.8,17.6,17.0,13.0
Villa Devoto,2010-05-26,Oestenoroeste,Norte,,90.0,82.0,112121,si,,7.2,,,1006.3,1010.6,Nornoreste,43.0,19.3,11.2,14.2,15.0,13.0,9.0
Villa Luro,2012-01-17,Sursuroeste,Sureste,13.3,37.0,47.0,121903,no,9.2,0.0,1.0,1.0,1011.9,1015.5,Sureste,43.0,31.3,16.6,29.6,22.0,17.0,13.0
Boedo,2017-05-11,,,,,91.0,18070,no,,0.0,,0.0,,,,,21.4,,,13.8,,0.0
Balvanera,2009-03-03,Nornoreste,Noreste,8.4,20.0,28.0,6110,no,7.2,0.0,1.0,7.0,1008.6,1012.8,Oeste,65.0,38.9,23.0,37.5,25.0,28.0,19.0
Villa Real,2014-01-19,Sureste,Sur,6.8,63.0,44.0,131777,no,7.2,0.2,,,1015.7,1016.7,Sursureste,37.0,19.2,12.9,15.8,15.9,22.0,11.0
Villa Real,2013-07-02,Oestesuroeste,Noroeste,2.1,83.0,78.0,131576,si,4.4,2.2,,,1008.3,1006.0,Oestenoroeste,70.0,15.3,8.2,10.4,12.9,15.0,30.0
Villa Pueyrredón,2015-02-17,Estesureste,Este,,60.0,66.0,128978,no,,0.0,,,1014.8,1018.1,Sureste,35.0,27.4,17.2,25.1,20.8,20.0,17.0
Boedo,2009-10-26,Sureste,Sureste,,74.0,84.0,15405,si,,16.8,8.0,8.0,,,,,18.8,14.8,17.0,16.6,19.0,4.0
Villa Crespo,2009-03-09,Sursureste,Sur,4.7,38.0,79.0,105629,no,13.6,0.4,7.0,8.0,1013.3,1015.6,Sureste,56.0,28.0,18.1,24.1,18.3,35.0,28.0
Parque Chacabuco,2015-12-18,Nornoreste,Norte,12.5,9.0,21.0,72846,no,14.8,0.0,,,1007.7,1010.8,suroeste,63.0,43.0,24.8,41.1,33.1,22.0,24.0
Villa Ortúzar,2011-12-18,Noroeste,Noreste,,18.0,38.0,124874,no,,0.0,,,,,Sursuroeste,56.0,36.2,12.1,34.6,24.0,13.0,20.0
Saavedra,2010-07-19,Estesureste,Sureste,9.7,56.0,72.0,87795,no,4.2,0.2,1.0,2.0,1014.4,1017.1,Sureste,35.0,28.7,18.6,27.0,22.6,28.0,17.0
Villa Riachuelo,2016-10-19,Oestenoroeste,Norte,,43.0,72.0,135821,si,,6.0,,,,,Nornoreste,41.0,15.0,2.6,14.4,9.1,17.0,11.0
Constitución,2013-01-29,Sursureste,Oestenoroeste,4.5,71.0,93.0,31939,si,,95.2,6.0,8.0,1004.9,1001.7,Este,70.0,26.2,19.3,24.0,21.5,24.0,11.0
Constitución,2010-04-13,Sursureste,Oeste,10.7,46.0,52.0,30978,no,5.6,0.0,1.0,1.0,1020.3,1021.8,,,22.3,13.1,21.3,17.6,19.0,17.0
Villa Devoto,2013-03-30,Sursureste,,,47.0,91.0,113071,no,,0.0,,,1021.8,1024.5,Sursureste,30.0,23.0,7.6,21.9,15.3,17.0,0.0
